"work_type","job_count","avg_salary","median_salary","min_salary","max_salary","salary_stddev"
"Remote","747","98557.45","95000.00","50000.0","255829.5","29162.00"
"On-site","5662","98107.71","94750.00","50000.0","285000.0","31475.67"
